,"Seg. sites Belem","Seg. sites Xingu","Seg. sites Tapajos","Pi Belem","Pi Xingu","Pi Tapajos","Taj D Belem","Taj D Xingu","Taj D Tapajos","Dxy Belem vs Xingu","Dxy Belem vs Tapajos","Dxy Xingu vs Tapajos","Fst Belem vs Xingu","Fst Belem vs Tapajos","Fst Xingu vs Tapajos","fdM","Topology 1","Topology 2","Topology 3","Recombination","CDS proportion","chromosome size","GC"
"Seg. sites Belem","NA",0,0,0,0,0,0,0,0,0,0,0,2.23255014475399E-09,0,0,0.049418975904923,0,0,0,0,0.003455160409525,0,0
"Seg. sites Xingu",0,"NA",0,0,0,0,0,0,0,0,0,0,0.060079107867792,0,0,0.816758009853151,0,0,0,0,0.017836852974726,0,0
"Seg. sites Tapajos",0,0,"NA",0,0,0,0,0,0,0,0,0,0.26611259875477,0,0,0.794640421277737,0,0,0,0,0.052678119085279,0,0
"Pi Belem",0,0,0,"NA",0,0,0,0,0,0,0,0,7.68312188093034E-07,0,0,0.037720092247385,0,0,0,0,0.000635106149822,0,0
"Pi Xingu",0,0,0,0,"NA",0,0,0,0,0,0,0,0.20238899303673,0,0,0.639751131747361,0,0,0,0,0.000387148526258,0,0
"Pi Tapajos",0,0,0,0,0,"NA",0,0,0,0,0,0,0.289863150151428,0,0,0.391068083246539,0,0,0,0,6.60347818512985E-05,0,0
"Taj D Belem",0,0,0,0,0,0,"NA",0,0,0,0,0,0.686386508161981,0,0,0.063038209816354,0,0,0,0,0.000189679377698,8.88178419700125E-16,0
"Taj D Xingu",0,0,0,0,0,0,0,"NA",0,0,0,0,0.804916900594006,0,0,0.879660357916833,0,0,0,0,1.14155857877662E-07,0,0
"Taj D Tapajos",0,0,0,0,0,0,0,0,"NA",0,0,0,0.702294204340965,0,0,0.056628840297528,0,0,0,0,0,0,0
"Dxy Belem vs Xingu",0,0,0,0,0,0,0,0,0,"NA",0,0,0.015306306168188,0,0,0.042444307232723,0,0,0,0,2.56652921137857E-10,0,0
"Dxy Belem vs Tapajos",0,0,0,0,0,0,0,0,0,0,"NA",0,0.018370333319853,0,0,8.22380130021116E-05,0,0,0,0,0,0,0
"Dxy Xingu vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,"NA",0.090121453691395,0,0,0.495308204360767,0,0,0,0,0,0,0
"Fst Belem vs Xingu",2.23255014475399E-09,0.060079107867792,0.26611259875477,7.68312188093034E-07,0.20238899303673,0.289863150151428,0.686386508161981,0.804916900594006,0.702294204340965,0.015306306168188,0.018370333319853,0.090121453691395,"NA",0,2.5841500050916E-08,0.517502248758194,0.681671466855058,0.956463549129981,0.757549886298307,0.777973070312568,0.387139268317156,0.772913258589954,0.091275177850832
"Fst Belem vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0.000133503638313,0,0,0,0,0.070070794376227,0.77288650055915,0
"Fst Xingu vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,0,2.5841500050916E-08,0,"NA",0.770395560629055,0,0,0,0,0.062456185552167,0.603785867645381,0
"fdM",0.049418975904923,0.816758009853151,0.794640421277737,0.037720092247385,0.639751131747361,0.391068083246539,0.063038209816354,0.879660357916833,0.056628840297528,0.042444307232723,8.22380130021116E-05,0.495308204360767,0.517502248758194,0.000133503638313,0.770395560629055,"NA",0,0.517448839477402,0,0.36716084647308,0.611763855503557,0.058542372453172,0.041519456879376
"Topology 1",0,0,0,0,0,0,0,0,0,0,0,0,0.681671466855058,0,0,0,"NA",0,0,0,0.42033466975412,0.004424378527071,0
"Topology 2",0,0,0,0,0,0,0,0,0,0,0,0,0.956463549129981,0,0,0.517448839477402,0,"NA",0,0,0.089167065650993,0.020192482680829,0
"Topology 3",0,0,0,0,0,0,0,0,0,0,0,0,0.757549886298307,0,0,0,0,0,"NA",0,0.020195382410034,0.151778637976171,0
"Recombination",0,0,0,0,0,0,0,0,0,0,0,0,0.777973070312568,0,0,0.36716084647308,0,0,0,"NA",2.79170020434094E-11,0,0
"CDS proportion",0.003455160409525,0.017836852974726,0.052678119085279,0.000635106149822,0.000387148526258,6.60347818512985E-05,0.000189679377698,1.14155857877662E-07,0,2.56652921137857E-10,0,0,0.387139268317156,0.070070794376227,0.062456185552167,0.611763855503557,0.42033466975412,0.089167065650993,0.020195382410034,2.79170020434094E-11,"NA",0,0
"chromosome size",0,0,0,0,0,0,8.88178419700125E-16,0,0,0,0,0,0.772913258589954,0.77288650055915,0.603785867645381,0.058542372453172,0.004424378527071,0.020192482680829,0.151778637976171,0,0,"NA",0
"GC",0,0,0,0,0,0,0,0,0,0,0,0,0.091275177850832,0,0,0.041519456879376,0,0,0,0,0,0,"NA"
