,"Seg. sites Belem","Seg. sites Xingu","Seg. sites Tapajos","Pi Belem","Pi Xingu","Pi Tapajos","Taj D Belem","Taj D Xingu","Taj D Tapajos","Dxy Belem vs Xingu","Dxy Belem vs Tapajos","Dxy Xingu vs Tapajos","Fst Belem vs Xingu","Fst Belem vs Tapajos","Fst Xingu vs Tapajos","fdM","Topology 1","Topology 2","Topology 3","Recombination","CDS proportion","chromosome size","GC"
"Seg. sites Belem","NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054319975687057,0,0.710773342783538,0,0
"Seg. sites Xingu",0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164670426643859,0,0.084793354255803,0,0
"Seg. sites Tapajos",0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001779177605097,0,0.111153415905714,0,0
"Pi Belem",0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130548219448597,0,0.520382452840857,0,0
"Pi Xingu",0,0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,2.80251377660079E-11,0,0,0.00267430355587,0,0.022128715501898,0,0
"Pi Tapajos",0,0,0,0,0,"NA",0,0,0,0,0,0,0,0,0,0,0,0,3.24074589159729E-05,0,0.004830967257356,0,0
"Taj D Belem",0,0,0,0,0,0,"NA",0,0,0,0,0,0,0,0,2.1422863483167E-12,0,0,0.71318904075312,0,0.612401778764132,0,0
"Taj D Xingu",0,0,0,0,0,0,0,"NA",0,0,0,0,0,3.83228293543425E-09,0,0.692542541992986,0,0,2.39808173319034E-14,0,0.004660884352046,0,0
"Taj D Tapajos",0,0,0,0,0,0,0,0,"NA",0,0,0,1.00806651914809E-09,0,0,0,0,0,1.06581410364015E-14,0,1.62979629614313E-06,0,0
"Dxy Belem vs Xingu",0,0,0,0,0,0,0,0,0,"NA",0,0,0,2.51556628860783E-07,0,0,0,0.500575889839814,0,0,0.002920267142159,0,0
"Dxy Belem vs Tapajos",0,0,0,0,0,0,0,0,0,0,"NA",0,5.47150236229754E-09,0,1.68735461159031E-08,0,0,0,0,0,0.000195817120837,0,0
"Dxy Xingu vs Tapajos",0,0,0,0,0,0,0,0,0,0,0,"NA",0.000641988789094,5.93955107319744E-10,0.00775183704316,0,0,0,2.77156973127468E-05,0,5.68838035208685E-06,0,0
"Fst Belem vs Xingu",0,0,0,0,0,0,0,0,1.00806651914809E-09,0,5.47150236229754E-09,0.000641988789094,"NA",0,0,0,0,0,0,0,0.03121360804725,0.033711415815296,1.99840144432528E-14
"Fst Belem vs Tapajos",0,0,0,0,0,0,0,3.83228293543425E-09,0,2.51556628860783E-07,0,5.93955107319744E-10,0,"NA",0,0,0,0,0,0,0.014966266422519,0.909152393175884,4.02059452397907E-09
"Fst Xingu vs Tapajos",0,0,0,0,0,0,0,0,0,0,1.68735461159031E-08,0.00775183704316,0,0,"NA",0.03418957674644,0,2.90146129344748E-10,0,0,0.191454930628258,1.19237952844742E-11,0
"fdM",0,0,0,0,2.80251377660079E-11,0,2.1422863483167E-12,0.692542541992986,0,0,0,0,0,0,0.03418957674644,"NA",0,0,0,0,0.000169350312933,5.55111512312578E-15,0
"Topology 1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NA",0,0,0,4.07367752863763E-08,6.66133814775094E-16,0
"Topology 2",0,0,0,0,0,0,0,0,0,0.500575889839814,0,0,0,0,2.90146129344748E-10,0,0,"NA",0,0,1.09692104288683E-08,0,0
"Topology 3",0.054319975687057,0.164670426643859,0.001779177605097,0.130548219448597,0.00267430355587,3.24074589159729E-05,0.71318904075312,2.39808173319034E-14,1.06581410364015E-14,0,0,2.77156973127468E-05,0,0,0,0,0,0,"NA",1.11022302462516E-14,0.741130262822937,5.6677422669793E-05,0.020432804474067
"Recombination",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11022302462516E-14,"NA",0,0,0
"CDS proportion",0.710773342783538,0.084793354255803,0.111153415905714,0.520382452840857,0.022128715501898,0.004830967257356,0.612401778764132,0.004660884352046,1.62979629614313E-06,0.002920267142159,0.000195817120837,5.68838035208685E-06,0.03121360804725,0.014966266422519,0.191454930628258,0.000169350312933,4.07367752863763E-08,1.09692104288683E-08,0.741130262822937,0,"NA",0,0
"chromosome size",0,0,0,0,0,0,0,0,0,0,0,0,0.033711415815296,0.909152393175884,1.19237952844742E-11,5.55111512312578E-15,6.66133814775094E-16,0,5.6677422669793E-05,0,0,"NA",0
"GC",0,0,0,0,0,0,0,0,0,0,0,0,1.99840144432528E-14,4.02059452397907E-09,0,0,0,0,0.020432804474067,0,0,0,"NA"
